# pattern;frequency
;1289;{}
2d;50084;{==ကိုးကား===1}
2d2n;63;{=={{=en=}}===1, =={{=my=}}===1}
2d2n2n;730;{==Unsupported length===1, ==Unsupported prefix===1, ==Unsupported symbols===1}
2d2n2n2n;6730;{==ကြောင်းတူသံကွဲ===1, ==ဆန့်ကျင်ဘက်===1, ==နာမဝိသေသန===1, ==အင်္ဂလိပ်===1}
2d2n2n2n2n;298;{==ကြိယာ===1, ==ကြောင်းတူသံကွဲ===1, ==ဆန့်ကျင်ဘက်===1, ==နာမ်===1, ==အင်္ဂလိပ်===1}
2d2n2n2n2n2n;14;{==စတင်ပြင်ဆင်ပုံ===1, ==လိုက်နာရမည့် အခြေခံ စည်းမျဉ်းများ===1, ==ဝစ်ရှင်နရီဆိုတာ===1, ==အကြမ်းဖျင်း စတိုင်===1, ==အကြမ်းဖျင်း ဝီကီဖော်မတ်===1, ==အသစ်ထည့်လိုသော (သို့) ပြင်လိုသော စကားလုံးကို ရှာပုံ===1}
2d2n2n2n2n2n2n;1;{==ကြိယာ===1, ==ကြိယာဝိသေသန===1, ==ကြောင်းတူသံကွဲ===1, ==ဆန့်ကျင်ဘက်===1, ==နာမဝိသေသန===1, ==နာမ်===1, ==အင်္ဂလိပ်===1}
2d2n2n2n2n2n2n2n2n2n2n2n2n2n2n2n;1;{== Adding Template Bottoms ===1, == Adding interwiki links ===1, == Build-in keyboard and Padauk font Embedded ===1, == Burmese Title for Wiktionary===1, == Dictionary Content ===1, == Double redirection ===1, == Global AbuseFilter ===1, == Layout Convention ===1, == Redesign Homepage ===1, == Translation using simple description and usage ===1, == Universal Language Selector to replace Narayam and WebFonts extensions ===1, == Uploading data ===1, == ဗမာ or မြန်မာ ===1, ==Help Pages===1, ==Lightnings===1, ==Overall design and Template Design===1}
2d2n2n2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===နာမ်====1, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, ==Burmese===1, =={{=my=}}===1, ==ကိုးကား===1, ==ကြောင်းတူသံကွဲ===1, ==နာမ်===1}
2d2n2n2n4d3u;1;{====ဆင့်ပွားအသုံးများ=====1, ==={{=en=}}====1, ==ကြောင်းတူသံကွဲ===1, ==ဆန့်ကျင်ဘက်===1, ==နာမ်===1, ==အင်္ဂလိပ်===1}
2d2n2n3d;9;{==={{နာမဝိသေသန}}====1, ==ကြောင်းတူသံကွဲ===1, ==နာမဝိသေသန===1, ==အင်္ဂလိပ်===1}
2d2n2n3d3n;3;{==={{ကြိယာ}}====1, ==={{နာမ်}}====1, =={{=en=}}===1, ==ကြိယာ===1, ==ကြောင်းတူသံကွဲ===1}
2d2n2n3d3n3n4d4n4n4n3u4d2u;2;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===နာမ်====1, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, =={{-noun-|my}}္ <!--Definition-->===1, =={{=my=}}===1, ==ကိုးကား===1, ==ဘာသာျပန <!--Translation-->===1}
2d2n2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====4, ====ဆက်စပ်အသုံးများ=====4, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====4, ====အင်္ဂလိပ်=====4, ====အရေအတွက်=====4, ===နာမဝိသေသန====2, ===နာမ်====1, ===ဘာသာပြန်====4, ===ရင်းမြစ်====4, ===ဝါစင်္ဂ====1, ===အသံထွက်====4, =={{=my=}}===4, ==ကိုးကား===4, ==နာမဝိေသသန {{-my-နာမဝိေသသန-}} <!--Adjective-->===1, ==ဘာသာပြန် <!--Translation-->===1}
2d2n3d;37;{===ကြောင်းတူသံကွဲ====1, ==နာမ်===1, ==အင်္ဂလိပ်===1}
2d2n3d2u;5;{===ကြောင်းတူသံကွဲ====1, ==ဆန့်ကျင်ဘက်===1, ==နာမဝိသေသန===1, ==အင်္ဂလိပ်===1}
2d2n3d2u2n;22;{===ကြိယာဝိသေသန====1, ==ကြောင်းတူသံကွဲ===1, ==ဆန့်ကျင်ဘက်===1, ==နာမဝိသေသန===1, ==အင်္ဂလိပ်===1}
2d2n3d2u3d3n3n4d4n4n4n3u4d2u;1;{====ကြောင်းတူသံကွဲများ=====1, ====ဆက်စပ်အသုံးများ=====1, ====ဆန့်ကျင်ဘက်စကားလုံးများ=====1, ====အင်္ဂလိပ်=====1, ====အရေအတွက်=====1, ===နာမ်====1, ===ဘာသာပြန် <!--Translation-->====1, ===ဘာသာပြန်====1, ===ရင်းမြစ်====1, ===အသံထွက်====1, ==Burmese===1, =={{=my=}}===1, ==ကိုးကား===1, ==နာမ် {{-my-နာမ်-}} <!--Noun-->===1}
2d2n3d3n;13;{===ကြောင်းတူသံကွဲ====1, ===နာမ်====1, ==Japanese===1, ==အင်္ဂလိပ်===1}
2d2n3d3n3n;4;{===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1, ===နာမ်====1, ==Indian===1, ==အင်္ဂလိပ်===1}
2d2n3d3n3n3n;1;{===ကြိယာ====1, ===ကြောင်းတူသံကွဲ====1, ===ဆန့်ကျင်ဘက်====1, ===နာမဝိသေသန====1, ==အင်္ဂလိပ်===2}
