# pattern;frequency
;1289
2d;50084
2d2n;63
2d2n2n;730
2d2n2n2n;6730
2d2n2n2n2n;298
2d2n2n2n2n2n;14
2d2n2n2n2n2n2n;1
2d2n2n2n2n2n2n2n2n2n2n2n2n2n2n2n;1
2d2n2n2n3d3n3n4d4n4n4n3u4d2u;1
2d2n2n2n4d3u;1
2d2n2n3d;9
2d2n2n3d3n;3
2d2n2n3d3n3n4d4n4n4n3u4d2u;2
2d2n2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1
2d2n3d;37
2d2n3d2u;5
2d2n3d2u2n;22
2d2n3d2u3d3n3n4d4n4n4n3u4d2u;1
2d2n3d3n;13
2d2n3d3n3n;4
2d2n3d3n3n3n;1
2d2n3d3n3n4d4n4n4n3u4d2u;2
2d2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1
2d2n3d4d;1
2d2n4d;2
2d3d;29242
2d3d2u;7
2d3d2u2n;7
2d3d2u2n2n;3
2d3d2u2n3d;1
2d3d2u2n3d3n;1
2d3d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1
2d3d2u3d;9
2d3d2u3d2u;1
2d3d2u3d2u3d;1
2d3d2u3d2u3d2u3d2u3d2u3d2u3d;1
2d3d2u3d3n;7
2d3d2u3d3n3n4d4n4n4n3u4d2u;33
2d3d2u3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1
2d3d2u3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;2
2d3d2u3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;2
2d3d2u3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u2n3d3n3n4d4n4n4n3u4d2u;1
2d3d2u3d3n4d;1
2d3d2u3d4d3u;1
2d3d2u4d;1
2d3d3n;1896
2d3d3n2u;5
2d3d3n2u2n;8
2d3d3n2u2n2n;1
